file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,d084bb6b,Miny-oung-K,2025-10-22,16:08:48,-07:00,2025-10-22T16:08:48-07:00,0,0
style.css,148,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,13
style.css,149,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,12
style.css,150,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,21
style.css,151,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,9
style.css,152,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,0
style.css,153,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,0
style.css,154,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,13
style.css,155,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,23
style.css,156,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,17
style.css,157,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,16
style.css,158,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,10
style.css,159,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,1,17
style.css,160,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,0
style.css,161,css,cb0c2efb,Miny-oung-K,2025-10-26,22:27:51,-07:00,2025-10-26T22:27:51-07:00,0,0
style.css,162,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,13
style.css,163,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,0,18
style.css,164,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,1,14
style.css,165,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,1,16
style.css,166,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,1,16
style.css,167,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,1,13
style.css,168,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,1,18
style.css,169,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,0,0
style.css,170,css,a8fc46c3,Miny-oung-K,2025-10-26,23:18:39,-07:00,2025-10-26T23:18:39-07:00,0,0
style.css,171,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,23
style.css,172,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,14
style.css,173,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,16
style.css,174,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,175,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,176,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,51
style.css,177,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,11
style.css,178,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,179,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,0
style.css,180,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,26
style.css,181,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,14
style.css,182,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,12
style.css,183,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,22
style.css,184,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,18
style.css,185,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,8
style.css,186,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,14
style.css,187,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,1,16
style.css,188,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,0
style.css,189,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,0
style.css,190,css,501a59e8,Miny-oung-K,2025-10-31,19:32:50,-07:00,2025-10-31T19:32:50-07:00,0,47
style.css,191,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,0,11
style.css,192,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,12
style.css,193,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,58
style.css,194,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,14
style.css,195,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,17
style.css,196,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,14
style.css,197,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,36
style.css,198,css,06a575c5,Miny-oung-K,2025-10-27,16:25:00,-07:00,2025-10-27T16:25:00-07:00,1,19
